BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_Discounts,x_Operation,x_ServiceCode
0.00,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud usage covered by compute-sp-3yr-noupfront,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,Spend,arn:aws:savingsplans::100000000000:savingsplan/sp-0a1b2c3d4e5f6a7b8,compute-sp-3yr-noupfront,2.000000,Used,Savings Plan,USD/hour,16.240,Hrs,38.79,2.388547,38.79,4419826371,Amazon Web Services EMEA SARL,62.57,3.852833,Committed,16.240,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:ec2:us-east-1:111111111111:instance/instance-0900,instance-0900,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""platform"",""system"":""api-gateway"",""environment"":""production""}",{},RunInstances,AmazonEC2
3.65,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Anthropic — metered usage,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,419428.500,tokens,3.65,0.000009,3.65,4419826371,Amazon Web Services EMEA SARL,0.00,0.000000,Standard,419428.500,tokens,AWS,Anthropic,ap-southeast-1,Asia Pacific (Singapore),arn:aws:aws-marketplace:ap-southeast-1:222222222222:model/model-0536,model-0536,model,AI and Machine Learning,,Generative AI,,,,222222222222,Acme Payments Production,Account,"{""team"":""security"",""system"":""risk-engine"",""environment"":""production""}",{},InvokeModelInference,
31.18,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AWS Lambda Lambda-GB-Second,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,645.600,seconds,31.18,0.048296,31.18,4419826371,Amazon Web Services EMEA SARL,34.22,0.053005,Standard,645.600,seconds,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:lambda:eu-west-1:333333333333:function/function-0111,function-0111,function,Compute,AWS Lambda,Serverless Compute,QKR2N6MTXH8VD4FC,Lambda-GB-Second,QKR2N6MTXH8VD4FC.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""data-eng"",""system"":""ledger"",""environment"":""sandbox""}","{""Enterprise Discount Program"":3.04}",Invoke,AWSLambda
30.38,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Simple Storage Service TimedStorage-ByteHrs,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,54.210,GB-Mo,30.38,0.560413,30.38,4419826371,Amazon Web Services EMEA SARL,36.37,0.670909,Standard,54.210,GB-Mo,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:s3:us-east-1:444444444444:bucket/bucket-0310,bucket-0310,bucket,Storage,Amazon Simple Storage Service,Object Storage,WMYPY7NCFQZK5D8H,TimedStorage-ByteHrs,WMYPY7NCFQZK5D8H.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""platform"",""system"":""risk-engine"",""environment"":""staging""}","{""Enterprise Discount Program"":5.99}",PutObject,AmazonS3
42.27,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,142.910,Hrs,42.27,0.295781,42.27,4419826371,Amazon Web Services EMEA SARL,48.43,0.338885,Standard,142.910,Hrs,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:ec2:eu-west-1:444444444444:instance/instance-0388,instance-0388,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,{},"{""Enterprise Discount Program"":6.16}",RunInstances,AmazonEC2
8.95,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,375.460,Hrs,8.95,0.023837,8.95,4419826371,Amazon Web Services EMEA SARL,11.02,0.029351,Standard,375.460,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:rds:us-east-1:222222222222:db/db-0304,db-0304,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""payments"",""system"":""ledger"",""environment"":""staging""}","{""Enterprise Discount Program"":2.07}",CreateDBInstance:0002,AmazonRDS
29.30,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,661.160,Hrs,29.30,0.044316,29.30,4419826371,Amazon Web Services EMEA SARL,40.19,0.060787,Standard,661.160,Hrs,AWS,"Amazon Web Services, Inc.",ap-southeast-1,Asia Pacific (Singapore),arn:aws:rds:ap-southeast-1:333333333333:db/db-0284,db-0284,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""payments"",""system"":""risk-engine"",""environment"":""production""}","{""Enterprise Discount Program"":10.89}",CreateDBInstance:0002,AmazonRDS
155.98,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,601.360,Hrs,155.98,0.259379,155.98,4419826371,Amazon Web Services EMEA SARL,172.14,0.286251,Standard,601.360,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:rds:us-east-1:333333333333:db/db-0297,db-0297,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""platform"",""system"":""event-bus"",""environment"":""production""}","{""Enterprise Discount Program"":16.16}",CreateDBInstance:0002,AmazonRDS
0.00,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud usage covered by compute-sp-3yr-noupfront,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,Spend,arn:aws:savingsplans::100000000000:savingsplan/sp-0a1b2c3d4e5f6a7b8,compute-sp-3yr-noupfront,2.000000,Used,Savings Plan,USD/hour,19.830,Hrs,31.29,1.577912,31.29,4419826371,Amazon Web Services EMEA SARL,50.47,2.545134,Committed,19.830,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:ec2:us-east-1:111111111111:instance/instance-0909,instance-0909,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""data-eng"",""system"":""risk-engine"",""environment"":""production""}",{},RunInstances,AmazonEC2
2.54,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Anthropic — metered usage,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,707670.110,tokens,2.54,0.000004,2.54,4419826371,Amazon Web Services EMEA SARL,0.00,0.000000,Standard,707670.110,tokens,AWS,Anthropic,us-west-2,US West (Oregon),arn:aws:aws-marketplace:us-west-2:111111111111:model/model-0502,model-0502,model,AI and Machine Learning,,Generative AI,,,,111111111111,Acme Platform Production,Account,"{""team"":""platform"",""system"":""event-bus"",""environment"":""production""}",{},InvokeModelInference,
75.87,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Simple Storage Service TimedStorage-ByteHrs,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,546.760,GB-Mo,75.87,0.138763,75.87,4419826371,Amazon Web Services EMEA SARL,99.64,0.182237,Standard,546.760,GB-Mo,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),arn:aws:s3:us-west-2:333333333333:bucket/bucket-0465,bucket-0465,bucket,Storage,Amazon Simple Storage Service,Object Storage,WMYPY7NCFQZK5D8H,TimedStorage-ByteHrs,WMYPY7NCFQZK5D8H.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""payments"",""system"":""risk-engine"",""environment"":""sandbox""}","{""Enterprise Discount Program"":23.77}",PutObject,AmazonS3
28.37,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,455.680,WriteRequestUnits,28.37,0.062259,28.37,4419826371,Amazon Web Services EMEA SARL,32.13,0.070510,Standard,455.680,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:dynamodb:eu-central-1:111111111111:table/table-0231,table-0231,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""platform"",""system"":""risk-engine"",""environment"":""production""}","{""Enterprise Discount Program"":3.76}",PutItem,AmazonDynamoDB
114.33,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AmazonCloudWatch DataProcessing-Bytes,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,641.970,GB,114.33,0.178092,114.33,4419826371,Amazon Web Services EMEA SARL,152.24,0.237145,Standard,641.970,GB,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:logs:eu-central-1:444444444444:log-group/log-group-0239,log-group-0239,log-group,Management and Governance,AmazonCloudWatch,Observability,B3TDFXKP9WNC7SLM,DataProcessing-Bytes,B3TDFXKP9WNC7SLM.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""data-eng"",""system"":""api-gateway"",""environment"":""staging""}","{""Enterprise Discount Program"":37.91}",PutLogEvents,AmazonCloudWatch
21.18,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,689.740,WriteRequestUnits,21.18,0.030707,21.18,4419826371,Amazon Web Services EMEA SARL,25.26,0.036622,Standard,689.740,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",ap-southeast-1,Asia Pacific (Singapore),arn:aws:dynamodb:ap-southeast-1:111111111111:table/table-0389,table-0389,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""payments"",""system"":""ledger"",""environment"":""sandbox""}","{""Enterprise Discount Program"":4.08}",PutItem,AmazonDynamoDB
63.96,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,33.160,WriteRequestUnits,63.96,1.928830,63.96,4419826371,Amazon Web Services EMEA SARL,78.46,2.366104,Standard,33.160,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:dynamodb:us-east-1:444444444444:table/table-0427,table-0427,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""security"",""system"":""risk-engine"",""environment"":""sandbox""}","{""Enterprise Discount Program"":14.5}",PutItem,AmazonDynamoDB
94.55,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,629.470,Hrs,94.55,0.150206,94.55,4419826371,Amazon Web Services EMEA SARL,125.48,0.199342,Standard,629.470,Hrs,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),arn:aws:ec2:us-west-2:222222222222:instance/instance-0151,instance-0151,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""platform"",""system"":""ledger"",""environment"":""production""}","{""Enterprise Discount Program"":30.93}",RunInstances,AmazonEC2
0.00,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud usage covered by compute-sp-3yr-noupfront,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,Spend,arn:aws:savingsplans::100000000000:savingsplan/sp-0a1b2c3d4e5f6a7b8,compute-sp-3yr-noupfront,2.000000,Used,Savings Plan,USD/hour,22.410,Hrs,34.47,1.538153,34.47,4419826371,Amazon Web Services EMEA SARL,55.59,2.480589,Committed,22.410,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:ec2:us-east-1:333333333333:instance/instance-0907,instance-0907,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""data-eng"",""system"":""ledger"",""environment"":""production""}",{},RunInstances,AmazonEC2
13.98,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Anthropic — metered usage,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,714719.070,tokens,13.98,0.000020,13.98,4419826371,Amazon Web Services EMEA SARL,0.00,0.000000,Standard,714719.070,tokens,AWS,Anthropic,us-east-1,US East (N. Virginia),arn:aws:aws-marketplace:us-east-1:444444444444:model/model-0535,model-0535,model,AI and Machine Learning,,Generative AI,,,,444444444444,Acme Development Sandbox,Account,"{""team"":""data-eng"",""system"":""ledger"",""environment"":""sandbox""}",{},InvokeModelInference,
53.87,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,,,,,,,,59.970,Hrs,53.87,0.898282,53.87,4419826371,Amazon Web Services EMEA SARL,62.27,1.038353,Standard,59.970,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:rds:us-east-1:111111111111:db/db-0406,db-0406,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""platform"",""system"":""api-gateway"",""environment"":""production""}","{""Enterprise Discount Program"":8.4}",CreateDBInstance:0002,AmazonRDS
122.22,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AmazonCloudWatch DataProcessing-Bytes,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,,,,,,,,352.290,GB,122.22,0.346930,122.22,4419826371,Amazon Web Services EMEA SARL,144.10,0.409038,Standard,352.290,GB,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:logs:us-east-1:222222222222:log-group/log-group-0109,log-group-0109,log-group,Management and Governance,AmazonCloudWatch,Observability,B3TDFXKP9WNC7SLM,DataProcessing-Bytes,B3TDFXKP9WNC7SLM.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""platform"",""system"":""event-bus"",""environment"":""production""}","{""Enterprise Discount Program"":21.88}",PutLogEvents,AmazonCloudWatch
98.60,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AWS Lambda Lambda-GB-Second,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,,,,,,,,695.580,seconds,98.60,0.141752,98.60,4419826371,Amazon Web Services EMEA SARL,124.62,0.179160,Standard,695.580,seconds,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:lambda:eu-west-1:222222222222:function/function-0452,function-0452,function,Compute,AWS Lambda,Serverless Compute,QKR2N6MTXH8VD4FC,Lambda-GB-Second,QKR2N6MTXH8VD4FC.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""platform"",""system"":""event-bus"",""environment"":""production""}","{""Enterprise Discount Program"":26.02}",Invoke,AWSLambda
8.63,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Simple Storage Service TimedStorage-ByteHrs,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,,,,,,,,206.850,GB-Mo,8.63,0.041721,8.63,4419826371,Amazon Web Services EMEA SARL,10.95,0.052937,Standard,206.850,GB-Mo,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:s3:us-east-1:333333333333:bucket/bucket-0467,bucket-0467,bucket,Storage,Amazon Simple Storage Service,Object Storage,WMYPY7NCFQZK5D8H,TimedStorage-ByteHrs,WMYPY7NCFQZK5D8H.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""data-eng"",""system"":""api-gateway"",""environment"":""production""}","{""Enterprise Discount Program"":2.32}",PutObject,AmazonS3
27.44,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,,,,,,,,342.520,Hrs,27.44,0.080112,27.44,4419826371,Amazon Web Services EMEA SARL,30.05,0.087732,Standard,342.520,Hrs,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:rds:eu-west-1:222222222222:db/db-0320,db-0320,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""data-eng"",""system"":""risk-engine"",""environment"":""staging""}","{""Enterprise Discount Program"":2.61}",CreateDBInstance:0002,AmazonRDS
87.20,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,,,,,,,,617.880,Hrs,87.20,0.141128,87.20,4419826371,Amazon Web Services EMEA SARL,95.91,0.155224,Standard,617.880,Hrs,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:rds:eu-west-1:111111111111:db/db-0290,db-0290,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""data-eng"",""system"":""ledger"",""environment"":""production""}","{""Enterprise Discount Program"":8.71}",CreateDBInstance:0002,AmazonRDS
0.00,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud usage covered by compute-sp-3yr-noupfront,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,Spend,arn:aws:savingsplans::100000000000:savingsplan/sp-0a1b2c3d4e5f6a7b8,compute-sp-3yr-noupfront,2.000000,Used,Savings Plan,USD/hour,23.720,Hrs,24.49,1.032462,24.49,4419826371,Amazon Web Services EMEA SARL,39.50,1.665261,Committed,23.720,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:ec2:us-east-1:111111111111:instance/instance-0903,instance-0903,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""platform"",""system"":""event-bus"",""environment"":""staging""}",{},RunInstances,AmazonEC2
24.70,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Anthropic — metered usage,Usage-Based,2026-05-08 00:00:00,2026-05-07 00:00:00,,,,,,,,78791.830,tokens,24.70,0.000313,24.70,4419826371,Amazon Web Services EMEA SARL,0.00,0.000000,Standard,78791.830,tokens,AWS,Anthropic,eu-central-1,Europe (Frankfurt),arn:aws:aws-marketplace:eu-central-1:222222222222:model/model-0522,model-0522,model,AI and Machine Learning,,Generative AI,,,,222222222222,Acme Payments Production,Account,"{""team"":""security"",""system"":""api-gateway"",""environment"":""sandbox""}",{},InvokeModelInference,
25.94,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AmazonCloudWatch DataProcessing-Bytes,Usage-Based,2026-05-09 00:00:00,2026-05-08 00:00:00,,,,,,,,706.620,GB,25.94,0.036710,25.94,4419826371,Amazon Web Services EMEA SARL,34.81,0.049263,Standard,706.620,GB,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:logs:eu-central-1:444444444444:log-group/log-group-0233,log-group-0233,log-group,Management and Governance,AmazonCloudWatch,Observability,B3TDFXKP9WNC7SLM,DataProcessing-Bytes,B3TDFXKP9WNC7SLM.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""security"",""system"":""risk-engine"",""environment"":""production""}","{""Enterprise Discount Program"":8.87}",PutLogEvents,AmazonCloudWatch
35.73,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-09 00:00:00,2026-05-08 00:00:00,,,,,,,,112.340,Hrs,35.73,0.318052,35.73,4419826371,Amazon Web Services EMEA SARL,40.92,0.364251,Standard,112.340,Hrs,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:rds:eu-central-1:111111111111:db/db-0136,db-0136,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""data-eng"",""system"":""ledger"",""environment"":""sandbox""}","{""Enterprise Discount Program"":5.19}",CreateDBInstance:0002,AmazonRDS
101.10,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-09 00:00:00,2026-05-08 00:00:00,,,,,,,,666.950,Hrs,101.10,0.151586,101.10,4419826371,Amazon Web Services EMEA SARL,118.21,0.177240,Standard,666.950,Hrs,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:ec2:eu-central-1:333333333333:instance/instance-0249,instance-0249,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""payments"",""system"":""api-gateway"",""environment"":""production""}","{""Enterprise Discount Program"":17.11}",RunInstances,AmazonEC2
137.17,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AWS Lambda Lambda-GB-Second,Usage-Based,2026-05-09 00:00:00,2026-05-08 00:00:00,,,,,,,,220.530,seconds,137.17,0.622002,137.17,4419826371,Amazon Web Services EMEA SARL,155.38,0.704575,Standard,220.530,seconds,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:lambda:eu-central-1:333333333333:function/function-0168,function-0168,function,Compute,AWS Lambda,Serverless Compute,QKR2N6MTXH8VD4FC,Lambda-GB-Second,QKR2N6MTXH8VD4FC.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""data-eng"",""system"":""ledger"",""environment"":""production""}","{""Enterprise Discount Program"":18.21}",Invoke,AWSLambda
63.53,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AWS Lambda Lambda-GB-Second,Usage-Based,2026-05-09 00:00:00,2026-05-08 00:00:00,,,,,,,,273.370,seconds,63.53,0.232396,63.53,4419826371,Amazon Web Services EMEA SARL,72.16,0.263965,Standard,273.370,seconds,AWS,"Amazon Web Services, Inc.",ap-southeast-1,Asia Pacific (Singapore),arn:aws:lambda:ap-southeast-1:333333333333:function/function-0184,function-0184,function,Compute,AWS Lambda,Serverless Compute,QKR2N6MTXH8VD4FC,Lambda-GB-Second,QKR2N6MTXH8VD4FC.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""platform"",""system"":""event-bus"",""environment"":""sandbox""}","{""Enterprise Discount Program"":8.63}",Invoke,AWSLambda
