BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingCurrency,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_AccountName,x_BilledCostInUsd,x_BillingProfileName,x_CostCenter,x_EffectiveCostInUsd,x_InvoiceSectionName,x_PublisherCategory,x_ResourceGroupName,x_SkuMeterCategory,x_SkuMeterName,x_SkuServiceFamily
145.28,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Functions Execution Time,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,335.010,GB Seconds,145.28,0.433659,145.28,G019283746,Microsoft,169.36,0.505537,Standard,EUR,335.010,GB Seconds,Microsoft,Microsoft,westeurope,West Europe,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-sites/providers/microsoft.web/sites/sites-0226,sites-0226,Microsoft.Web/sites,Compute,Azure Functions,Serverless Compute,DZH318Z0BQ6R,Execution Time,"{""MeterId"":""DZH318Z0BQ6R"",""TierMinimumUnits"":0}",DZH318Z0BQ6R/Execution-Time,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""payments"",""System"":""api-gateway"",""Environment"":""sandbox""}",Platform Production,158.36,Acme Corp Billing Profile,cc-2087,158.36,Engineering,Microsoft,rg-acme-sites,Azure Functions,Execution Time,Compute
0.00,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines usage covered by ri-d4sv5-westeurope-3yr,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,Usage,/providers/Microsoft.Capacity/reservationOrders/9d4a6c31-77b2-4f0e-9c1a-6b8e2d5f3a10/reservations/4c7f1b8e-2a93-4d6c-8e05-1f7b9a3c6d24,ri-d4sv5-westeurope-3yr,4.000000,Used,Reservation,Hours,21.760,Hours,13.19,0.606158,13.19,G019283746,Microsoft,21.27,0.977482,Committed,EUR,21.760,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0910,virtualmachines-0910,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""security"",""System"":""api-gateway"",""Environment"":""staging""}",Development Sandbox,0.00,Acme Corp Billing Profile,cc-2087,14.38,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
8.86,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Datadog — Pro Host Hours,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,291655.450,Hours,8.86,0.000030,8.86,G019283746,Microsoft,0.00,0.000000,Standard,EUR,291655.450,Hours,Microsoft,Datadog,westus2,West US 2,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-monitors/providers/datadog.monitor/monitors/monitors-0526,monitors-0526,Datadog.Monitor/monitors,Management and Governance,Datadog Pro,Observability,DZH318Z0C1WY,Pro Host Hours,"{""MeterId"":""DZH318Z0C1WY"",""TierMinimumUnits"":0}",DZH318Z0C1WY/Pro-Host-Hours,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""platform"",""System"":""event-bus"",""Environment"":""staging""}",Platform Production,9.66,Acme Corp Billing Profile,cc-2087,9.66,Engineering,Marketplace,rg-acme-monitors,Datadog Pro,Pro Host Hours,Management and Governance
82.64,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines D4s v5 Compute Hours,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,709.070,Hours,82.64,0.116547,82.64,G019283746,Microsoft,96.27,0.135769,Standard,EUR,709.070,Hours,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0315,virtualmachines-0315,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""security"",""System"":""api-gateway"",""Environment"":""sandbox""}",Data Analytics,90.08,Acme Corp Billing Profile,cc-2087,90.08,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
136.42,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure SQL Database vCore General Purpose,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,541.480,Hours,136.42,0.251939,136.42,G019283746,Microsoft,168.08,0.310409,Standard,EUR,541.480,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2/resourcegroups/rg-acme-databases/providers/microsoft.sql/databases/databases-0368,databases-0368,Microsoft.Sql/servers/databases,Databases,Azure SQL Database,Relational Databases,DZH318Z0BPZ2,vCore General Purpose,"{""MeterId"":""DZH318Z0BPZ2"",""TierMinimumUnits"":0}",DZH318Z0BPZ2/vCore-General-Purpose,3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2,Payments Production,Subscription,"{""Team"":""payments"",""System"":""ledger"",""Environment"":""sandbox""}",Payments Production,148.70,Acme Corp Billing Profile,cc-2087,148.70,Engineering,Microsoft,rg-acme-databases,Azure SQL Database,vCore General Purpose,Databases
111.96,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines D4s v5 Compute Hours,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,300.740,Hours,111.96,0.372282,111.96,G019283746,Microsoft,133.77,0.444803,Standard,EUR,300.740,Hours,Microsoft,Microsoft,westus2,West US 2,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0359,virtualmachines-0359,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""data-eng"",""System"":""event-bus"",""Environment"":""production""}",Data Analytics,122.04,Acme Corp Billing Profile,cc-2087,122.04,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
94.72,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure SQL Database vCore General Purpose,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,341.730,Hours,94.72,0.277178,94.72,G019283746,Microsoft,105.69,0.309279,Standard,EUR,341.730,Hours,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-databases/providers/microsoft.sql/databases/databases-0257,databases-0257,Microsoft.Sql/servers/databases,Databases,Azure SQL Database,Relational Databases,DZH318Z0BPZ2,vCore General Purpose,"{""MeterId"":""DZH318Z0BPZ2"",""TierMinimumUnits"":0}",DZH318Z0BPZ2/vCore-General-Purpose,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""data-eng"",""System"":""event-bus"",""Environment"":""production""}",Data Analytics,103.24,Acme Corp Billing Profile,cc-2087,103.24,Engineering,Microsoft,rg-acme-databases,Azure SQL Database,vCore General Purpose,Databases
114.15,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Cosmos DB RU/s Provisioned Throughput,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,131.850,100 RU/s Hours,114.15,0.865757,114.15,G019283746,Microsoft,136.20,1.032992,Standard,EUR,131.850,100 RU/s Hours,Microsoft,Microsoft,southeastasia,Southeast Asia,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-databaseaccounts/providers/microsoft.documentdb/databaseaccounts/databaseaccounts-0174,databaseaccounts-0174,Microsoft.DocumentDB/databaseAccounts,Databases,Azure Cosmos DB,NoSQL Databases,DZH318Z0BPZ7,RU/s Provisioned Throughput,"{""MeterId"":""DZH318Z0BPZ7"",""TierMinimumUnits"":0}",DZH318Z0BPZ7/RU/s-Provisioned-Throughput,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""data-eng"",""System"":""event-bus"",""Environment"":""sandbox""}",Platform Production,124.42,Acme Corp Billing Profile,cc-2087,124.42,Engineering,Microsoft,rg-acme-databaseaccounts,Azure Cosmos DB,RU/s Provisioned Throughput,Databases
46.89,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure SQL Database vCore General Purpose,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,259.250,Hours,46.89,0.180868,46.89,G019283746,Microsoft,57.45,0.221601,Standard,EUR,259.250,Hours,Microsoft,Microsoft,westus2,West US 2,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-databases/providers/microsoft.sql/databases/databases-0304,databases-0304,Microsoft.Sql/servers/databases,Databases,Azure SQL Database,Relational Databases,DZH318Z0BPZ2,vCore General Purpose,"{""MeterId"":""DZH318Z0BPZ2"",""TierMinimumUnits"":0}",DZH318Z0BPZ2/vCore-General-Purpose,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""payments"",""System"":""api-gateway"",""Environment"":""production""}",Development Sandbox,51.11,Acme Corp Billing Profile,cc-2087,51.11,Engineering,Microsoft,rg-acme-databases,Azure SQL Database,vCore General Purpose,Databases
0.00,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines usage covered by ri-d4sv5-westeurope-3yr,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,Usage,/providers/Microsoft.Capacity/reservationOrders/9d4a6c31-77b2-4f0e-9c1a-6b8e2d5f3a10/reservations/4c7f1b8e-2a93-4d6c-8e05-1f7b9a3c6d24,ri-d4sv5-westeurope-3yr,4.000000,Used,Reservation,Hours,16.240,Hours,38.79,2.388547,38.79,G019283746,Microsoft,62.57,3.852833,Committed,EUR,16.240,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0900,virtualmachines-0900,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""platform"",""System"":""api-gateway"",""Environment"":""production""}",Platform Production,0.00,Acme Corp Billing Profile,cc-2087,42.28,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
3.65,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Datadog — Pro Host Hours,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,419428.500,Hours,3.65,0.000009,3.65,G019283746,Microsoft,0.00,0.000000,Standard,EUR,419428.500,Hours,Microsoft,Datadog,southeastasia,Southeast Asia,/subscriptions/3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2/resourcegroups/rg-acme-monitors/providers/datadog.monitor/monitors/monitors-0536,monitors-0536,Datadog.Monitor/monitors,Management and Governance,Datadog Pro,Observability,DZH318Z0C1WY,Pro Host Hours,"{""MeterId"":""DZH318Z0C1WY"",""TierMinimumUnits"":0}",DZH318Z0C1WY/Pro-Host-Hours,3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2,Payments Production,Subscription,"{""Team"":""security"",""System"":""risk-engine"",""Environment"":""production""}",Payments Production,3.98,Acme Corp Billing Profile,cc-2087,3.98,Engineering,Marketplace,rg-acme-monitors,Datadog Pro,Pro Host Hours,Management and Governance
31.18,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Functions Execution Time,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,645.600,GB Seconds,31.18,0.048296,31.18,G019283746,Microsoft,34.22,0.053005,Standard,EUR,645.600,GB Seconds,Microsoft,Microsoft,westeurope,West Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-sites/providers/microsoft.web/sites/sites-0111,sites-0111,Microsoft.Web/sites,Compute,Azure Functions,Serverless Compute,DZH318Z0BQ6R,Execution Time,"{""MeterId"":""DZH318Z0BQ6R"",""TierMinimumUnits"":0}",DZH318Z0BQ6R/Execution-Time,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""data-eng"",""System"":""ledger"",""Environment"":""sandbox""}",Data Analytics,33.99,Acme Corp Billing Profile,cc-2087,33.99,Engineering,Microsoft,rg-acme-sites,Azure Functions,Execution Time,Compute
30.38,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Blob Storage Hot LRS Data Stored,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,54.210,GB/Month,30.38,0.560413,30.38,G019283746,Microsoft,36.37,0.670909,Standard,EUR,54.210,GB/Month,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-storageaccounts/providers/microsoft.storage/storageaccounts/storageaccounts-0310,storageaccounts-0310,Microsoft.Storage/storageAccounts,Storage,Azure Blob Storage,Object Storage,DZH318Z0BNZ4,Hot LRS Data Stored,"{""MeterId"":""DZH318Z0BNZ4"",""TierMinimumUnits"":0}",DZH318Z0BNZ4/Hot-LRS-Data-Stored,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""platform"",""System"":""risk-engine"",""Environment"":""staging""}",Development Sandbox,33.11,Acme Corp Billing Profile,cc-2087,33.11,Engineering,Microsoft,rg-acme-storageaccounts,Azure Blob Storage,Hot LRS Data Stored,Storage
42.27,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines D4s v5 Compute Hours,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,142.910,Hours,42.27,0.295781,42.27,G019283746,Microsoft,48.43,0.338885,Standard,EUR,142.910,Hours,Microsoft,Microsoft,westeurope,West Europe,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0388,virtualmachines-0388,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,{},Development Sandbox,46.07,Acme Corp Billing Profile,cc-2087,46.07,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
8.95,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure SQL Database vCore General Purpose,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,375.460,Hours,8.95,0.023837,8.95,G019283746,Microsoft,11.02,0.029351,Standard,EUR,375.460,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2/resourcegroups/rg-acme-databases/providers/microsoft.sql/databases/databases-0304,databases-0304,Microsoft.Sql/servers/databases,Databases,Azure SQL Database,Relational Databases,DZH318Z0BPZ2,vCore General Purpose,"{""MeterId"":""DZH318Z0BPZ2"",""TierMinimumUnits"":0}",DZH318Z0BPZ2/vCore-General-Purpose,3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2,Payments Production,Subscription,"{""Team"":""payments"",""System"":""ledger"",""Environment"":""staging""}",Payments Production,9.76,Acme Corp Billing Profile,cc-2087,9.76,Engineering,Microsoft,rg-acme-databases,Azure SQL Database,vCore General Purpose,Databases
29.30,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure SQL Database vCore General Purpose,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,661.160,Hours,29.30,0.044316,29.30,G019283746,Microsoft,40.19,0.060787,Standard,EUR,661.160,Hours,Microsoft,Microsoft,southeastasia,Southeast Asia,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-databases/providers/microsoft.sql/databases/databases-0284,databases-0284,Microsoft.Sql/servers/databases,Databases,Azure SQL Database,Relational Databases,DZH318Z0BPZ2,vCore General Purpose,"{""MeterId"":""DZH318Z0BPZ2"",""TierMinimumUnits"":0}",DZH318Z0BPZ2/vCore-General-Purpose,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""payments"",""System"":""risk-engine"",""Environment"":""production""}",Data Analytics,31.94,Acme Corp Billing Profile,cc-2087,31.94,Engineering,Microsoft,rg-acme-databases,Azure SQL Database,vCore General Purpose,Databases
155.98,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure SQL Database vCore General Purpose,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,601.360,Hours,155.98,0.259379,155.98,G019283746,Microsoft,172.14,0.286251,Standard,EUR,601.360,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-databases/providers/microsoft.sql/databases/databases-0297,databases-0297,Microsoft.Sql/servers/databases,Databases,Azure SQL Database,Relational Databases,DZH318Z0BPZ2,vCore General Purpose,"{""MeterId"":""DZH318Z0BPZ2"",""TierMinimumUnits"":0}",DZH318Z0BPZ2/vCore-General-Purpose,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""platform"",""System"":""event-bus"",""Environment"":""production""}",Data Analytics,170.02,Acme Corp Billing Profile,cc-2087,170.02,Engineering,Microsoft,rg-acme-databases,Azure SQL Database,vCore General Purpose,Databases
0.00,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines usage covered by ri-d4sv5-westeurope-3yr,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,Usage,/providers/Microsoft.Capacity/reservationOrders/9d4a6c31-77b2-4f0e-9c1a-6b8e2d5f3a10/reservations/4c7f1b8e-2a93-4d6c-8e05-1f7b9a3c6d24,ri-d4sv5-westeurope-3yr,4.000000,Used,Reservation,Hours,19.830,Hours,31.29,1.577912,31.29,G019283746,Microsoft,50.47,2.545134,Committed,EUR,19.830,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0909,virtualmachines-0909,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""data-eng"",""System"":""risk-engine"",""Environment"":""production""}",Platform Production,0.00,Acme Corp Billing Profile,cc-2087,34.11,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
2.54,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Datadog — Pro Host Hours,Usage-Based,2026-05-06 00:00:00,2026-05-05 00:00:00,,,,,,,,707670.110,Hours,2.54,0.000004,2.54,G019283746,Microsoft,0.00,0.000000,Standard,EUR,707670.110,Hours,Microsoft,Datadog,westus2,West US 2,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-monitors/providers/datadog.monitor/monitors/monitors-0502,monitors-0502,Datadog.Monitor/monitors,Management and Governance,Datadog Pro,Observability,DZH318Z0C1WY,Pro Host Hours,"{""MeterId"":""DZH318Z0C1WY"",""TierMinimumUnits"":0}",DZH318Z0C1WY/Pro-Host-Hours,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""platform"",""System"":""event-bus"",""Environment"":""production""}",Platform Production,2.77,Acme Corp Billing Profile,cc-2087,2.77,Engineering,Marketplace,rg-acme-monitors,Datadog Pro,Pro Host Hours,Management and Governance
75.87,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Blob Storage Hot LRS Data Stored,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,546.760,GB/Month,75.87,0.138763,75.87,G019283746,Microsoft,99.64,0.182237,Standard,EUR,546.760,GB/Month,Microsoft,Microsoft,westus2,West US 2,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-storageaccounts/providers/microsoft.storage/storageaccounts/storageaccounts-0465,storageaccounts-0465,Microsoft.Storage/storageAccounts,Storage,Azure Blob Storage,Object Storage,DZH318Z0BNZ4,Hot LRS Data Stored,"{""MeterId"":""DZH318Z0BNZ4"",""TierMinimumUnits"":0}",DZH318Z0BNZ4/Hot-LRS-Data-Stored,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""payments"",""System"":""risk-engine"",""Environment"":""sandbox""}",Data Analytics,82.70,Acme Corp Billing Profile,cc-2087,82.70,Engineering,Microsoft,rg-acme-storageaccounts,Azure Blob Storage,Hot LRS Data Stored,Storage
28.37,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Cosmos DB RU/s Provisioned Throughput,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,455.680,100 RU/s Hours,28.37,0.062259,28.37,G019283746,Microsoft,32.13,0.070510,Standard,EUR,455.680,100 RU/s Hours,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-databaseaccounts/providers/microsoft.documentdb/databaseaccounts/databaseaccounts-0231,databaseaccounts-0231,Microsoft.DocumentDB/databaseAccounts,Databases,Azure Cosmos DB,NoSQL Databases,DZH318Z0BPZ7,RU/s Provisioned Throughput,"{""MeterId"":""DZH318Z0BPZ7"",""TierMinimumUnits"":0}",DZH318Z0BPZ7/RU/s-Provisioned-Throughput,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""platform"",""System"":""risk-engine"",""Environment"":""production""}",Platform Production,30.92,Acme Corp Billing Profile,cc-2087,30.92,Engineering,Microsoft,rg-acme-databaseaccounts,Azure Cosmos DB,RU/s Provisioned Throughput,Databases
114.33,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Monitor Data Ingestion,Usage-Based,2026-05-07 00:00:00,2026-05-06 00:00:00,,,,,,,,641.970,GB,114.33,0.178092,114.33,G019283746,Microsoft,152.24,0.237145,Standard,EUR,641.970,GB,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-workspaces/providers/microsoft.operationalinsights/workspaces/workspaces-0239,workspaces-0239,Microsoft.OperationalInsights/workspaces,Management and Governance,Azure Monitor,Observability,DZH318Z0BS3Q,Data Ingestion,"{""MeterId"":""DZH318Z0BS3Q"",""TierMinimumUnits"":0}",DZH318Z0BS3Q/Data-Ingestion,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""data-eng"",""System"":""api-gateway"",""Environment"":""staging""}",Development Sandbox,124.62,Acme Corp Billing Profile,cc-2087,124.62,Engineering,Microsoft,rg-acme-workspaces,Azure Monitor,Data Ingestion,Management and Governance
